lg_ply_pid	lga_pid	vic_lga__2	vic_lga__3	FID	type	wrrg
672	VIC212	CARDINIA SHIRE	CARDINIA	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.68	lga	Metropolitan Waste and Resource Recovery Group
676	VIC211	MITCHELL SHIRE	MITCHELL	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.69	lga	Goulburn Valley Waste and Resource Recovery Group
674	VIC193	GREATER BENDIGO CITY	GREATER BENDIGO	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.70	lga	Loddon Mallee Waste and Resource Recovery Group
673	VIC213	CASEY CITY	CASEY	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.71	lga	Metropolitan Waste and Resource Recovery Group
670	VIC216	NILLUMBIK SHIRE	NILLUMBIK	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.72	lga	Metropolitan Waste and Resource Recovery Group
267	VIC249	MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED)	MOUNT BAW BAW ALPINE RESORT (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.73	unincorporated	Gippsland Waste and Resource Recovery Group
281	VIC177	GLEN EIRA CITY	GLEN EIRA	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.74	lga	Metropolitan Waste and Resource Recovery Group
283	VIC247	GREATER DANDENONG CITY	GREATER DANDENONG	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.75	lga	Metropolitan Waste and Resource Recovery Group
304	VIC179	WARRNAMBOOL CITY	WARRNAMBOOL	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.76	lga	Barwon South West Waste and Resource Recovery Group
307	VIC182	BAYSIDE CITY	BAYSIDE	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.77	lga	Metropolitan Waste and Resource Recovery Group
313	VIC184	LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED)	LAKE MOUNTAIN ALPINE RESORT (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.78	unincorporated	Goulburn Valley Waste and Resource Recovery Group
353	VIC250	MURRINDINDI SHIRE	MURRINDINDI	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.79	lga	Goulburn Valley Waste and Resource Recovery Group
582	VIC224	COLAC OTWAY SHIRE	COLAC OTWAY	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.80	lga	Barwon South West Waste and Resource Recovery Group
586	VIC180	SWAN HILL RURAL CITY	SWAN HILL	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.81	lga	Loddon Mallee Waste and Resource Recovery Group
580	VIC132	MELBOURNE CITY	MELBOURNE	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.82	lga	Metropolitan Waste and Resource Recovery Group
581	VIC208	PORT PHILLIP CITY	PORT PHILLIP	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.83	lga	Metropolitan Waste and Resource Recovery Group
357	VIC181	GABO ISLAND (UNINCORPORATED)	GABO ISLAND (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.84	unincorporated	Gippsland Waste and Resource Recovery Group
379	VIC251	FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)	FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.85	unincorporated	Metropolitan Waste and Resource Recovery Group
380	VIC251	FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)	FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.86	unincorporated	Metropolitan Waste and Resource Recovery Group
392	VIC188	BANYULE CITY	BANYULE	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.87	lga	Metropolitan Waste and Resource Recovery Group
410	VIC187	TOWONG SHIRE	TOWONG	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.88	lga	North East Waste and Resource Recovery Group
413	VIC238	QUEENSCLIFFE BOROUGH	QUEENSCLIFFE	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.89	lga	Barwon South West Waste and Resource Recovery Group
420	VIC251	FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)	FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.90	unincorporated	Metropolitan Waste and Resource Recovery Group
445	VIC240	MOUNT STIRLING ALPINE RESORT (UNINCORPORATED)	MOUNT STIRLING ALPINE RESORT (UNINC)	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.91	unincorporated	North East Waste and Resource Recovery Group
651	VIC204	MORNINGTON PENINSULA SHIRE	MORNINGTON PENINSULA	ckan_bdf92691_c6fe_42b9_a0e2_a4cd716fa811.92	lga	Metropolitan Waste and Resource Recovery Group
